Arup

Steel Design
Vieerendeel Roof
Example

File Steel_Design_Complex.gwb
Exported 04/12/2014 13:36:00

GSA 8.7.0.36 64-bit Copyright © Oasys 1985-2014

Beam Derived Stresses
Stresses are calculated only for elements that have unmodified Area, Iyy and Izz or for which
the 'Stress Calc. Basis' is specified as 'Section'.
The 'Stress Calc. Basis' is reported only for sections that have modified Area, Iyy or Izz.

+ve stresses:  tensile

SEy and SEz are the maximum elastic shear stresses.  (Refer to the GSA manual for details.)

Torsional stress:  St = Mxx/Ct
- where Ct is the 'torsion modulus'.  (Refer to the GSA manual for details.)

Von Mises stress:  This is calculated assuming the maximum through thickness stress and torsional stress coexist.
In most cases this is an over-estimate of the von Mises stress.

Case list:  C3 : ULS3

START_TABLE Beam Derived Stresses
Elem	Case	Stress Calc. Basis	Pos	SEy	SEz	St	Von Mises
				[Pa]	[Pa]	[Pa]	[Pa]
			500	5.028E+6	28.48E+6	2.280E+6	133.1E+6
113	C3		479	-7.901E+6	-1.165E+6	-5.492E+6	88.10E+6
			480	-7.901E+6	-1.165E+6	-5.492E+6	74.52E+6
115	C3		480	9.354E+6	24.47E+6	9.675E+6	191.8E+6
			501	9.354E+6	24.47E+6	9.675E+6	146.6E+6
116	C3		480	-9.912E+6	-8.212E+6	-8.983E+6	108.4E+6
			481	-9.912E+6	-8.212E+6	-8.983E+6	93.82E+6
118	C3		481	9.477E+6	17.08E+6	10.44E+6	147.2E+6
			502	9.477E+6	17.08E+6	10.44E+6	123.8E+6
119	C3		481	-7.387E+6	-9.553E+6	-8.174E+6	83.40E+6
			482	-7.387E+6	-9.553E+6	-8.174E+6	91.51E+6
121	C3		482	7.188E+6	9.971E+6	8.373E+6	93.18E+6
			503	7.188E+6	9.971E+6	8.373E+6	84.89E+6
122	C3		482	-4.322E+6	-6.420E+6	-5.400E+6	42.55E+6
			483	-4.322E+6	-6.420E+6	-5.400E+6	62.05E+6
124	C3		483	3.835E+6	3.716E+6	6.074E+6	43.05E+6
			504	3.835E+6	3.716E+6	6.074E+6	41.59E+6
126	C3		484	5.037E+6	-29.22E+6	5.076E+6	224.3E+6
			505	5.037E+6	-29.22E+6	5.076E+6	145.0E+6
127	C3		484	-7.011E+6	-5.208E+6	-6.351E+6	59.84E+6
			485	-7.011E+6	-5.208E+6	-6.351E+6	72.54E+6
129	C3		485	7.443E+6	-27.87E+6	9.002E+6	207.2E+6
			506	7.443E+6	-27.87E+6	9.002E+6	143.0E+6
130	C3		485	3.459E+6	41.70E+6	2.080E+6	175.4E+6
			486	3.459E+6	41.70E+6	2.080E+6	242.7E+6
132	C3		486	10.60E+6	-72.01E+6	4.699E+6	470.7E+6
			507	10.60E+6	-72.01E+6	4.699E+6	348.7E+6
133	C3		486	-10.42E+6	-72.86E+6	-4.444E+6	476.7E+6
			487	-10.42E+6	-72.86E+6	-4.444E+6	351.3E+6
135	C3		487	9.828E+6	-25.69E+6	-11.48E+6	189.0E+6
			508	9.828E+6	-25.69E+6	-11.48E+6	136.1E+6
136	C3		487	-2.760E+6	-30.59E+6	1.718E+6	132.4E+6
			488	-2.760E+6	-30.59E+6	1.718E+6	182.5E+6
138	C3		488	5.633E+6	-11.85E+6	-4.420E+6	92.44E+6
			509	5.633E+6	-11.85E+6	-4.420E+6	77.62E+6
139	C3		488	-1.815E+6	-21.22E+6	2.411E+6	100.1E+6
			489	-1.815E+6	-21.22E+6	2.411E+6	139.3E+6
141	C3		489	4.102E+6	-8.708E+6	-2.689E+6	69.78E+6
			510	4.102E+6	-8.708E+6	-2.689E+6	64.45E+6
142	C3		489	-1.658E+6	-14.80E+6	2.007E+6	88.89E+6
			490	-1.658E+6	-14.80E+6	2.007E+6	125.9E+6
144	C3		490	3.565E+6	-7.128E+6	-1.944E+6	58.64E+6
			511	3.565E+6	-7.128E+6	-1.944E+6	56.44E+6
145	C3		490	-1.937E+6	-9.613E+6	1.381E+6	78.80E+6
			491	-1.937E+6	-9.613E+6	1.381E+6	116.2E+6
147	C3		491	3.435E+6	-5.765E+6	-1.440E+6	50.05E+6
			512	3.435E+6	-5.765E+6	-1.440E+6	48.45E+6
148	C3		491	-2.251E+6	-4.901E+6	828200.	66.55E+6
			492	-2.251E+6	-4.901E+6	828200.	105.0E+6
150	C3		492	3.398E+6	-4.419E+6	-1.117E+6	41.87E+6
			513	3.398E+6	-4.419E+6	-1.117E+6	39.67E+6
151	C3		492	-2.449E+6	-442200.	512500.	87.59E+6
